kind,dataset,config,gamma,eta,acc_mean,acc_std,pure_mean,pure_std,weighted_mean,weighted_std,iter_mean,iter_std,delta_acc_vs_pure,delta_pure_vs_pure,delta_weighted_vs_pure
docs,ohscal.mat,"PURE (γ=1, η=1)",1.0,1.0,0.12703816520336858,0.021281462120925448,0.9982047446510022,0.0033980802662824847,0.9982047446510022,0.0033980802662824847,50.0,0.0,0.0,0.0,0.0
docs,ohscal.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.11639491130621753,0.001731886914032326,2.285026609581015,0.004691077178435303,2.285026609581015,0.004691077178435303,50.0,0.0,-0.010643253897151053,1.2868218649300127,1.2868218649300127
docs,ohscal.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.12607059666726392,0.01812873226498129,1.0347746441110581,0.07781036410860713,1.0347746441110581,0.07781036410860713,50.0,0.0,-0.0009675685361046626,0.036569899460055955,0.036569899460055955
docs,ohscal.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.11646658304963269,0.0006334946973540125,11.209114070908303,1.4306635943744652,11.209114070908303,1.4306635943744652,50.0,0.0,-0.010571582153735895,10.210909326257301,10.210909326257301
docs,reviews.mat,"PURE (γ=1, η=1)",1.0,1.0,0.32499385598427133,0.03769546677859861,0.995356119053157,0.0026444239369420503,0.995356119053157,0.0026444239369420503,50.0,0.0,0.0,0.0,0.0
docs,reviews.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.3017449004669452,0.03218028754769874,2.417981815845101,0.7935461410034113,2.417981815845101,0.7935461410034113,50.0,0.0,-0.023248955517326142,1.422625696791944,1.422625696791944
docs,reviews.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.36628164168100275,0.046291674601211155,0.9928253143584804,0.0033267002571200415,0.9928253143584804,0.0033267002571200415,50.0,0.0,0.041287785696731416,-0.0025308046946765916,-0.0025308046946765916
docs,reviews.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.32061931678545097,0.020348178684252063,8.428927152986224,6.811092209893611,8.428927152986224,6.811092209893611,50.0,0.0,-0.00437453919882036,7.433571033933068,7.433571033933068
docs,sports.mat,"PURE (γ=1, η=1)",1.0,1.0,0.33752913752913755,0.038880077742037486,0.9819002046741815,0.002392065001601297,0.9819002046741815,0.002392065001601297,50.0,0.0,0.0,0.0,0.0
docs,sports.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.23846153846153845,0.04191601430484539,2.518304363928074,0.0033268786513492962,2.518304363928074,0.0033268786513492962,50.0,0.0,-0.0990675990675991,1.5364041592538924,1.5364041592538924
docs,sports.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.32333333333333336,0.02243875802912163,0.9827524148299045,0.0025390305511018762,0.9827524148299045,0.0025390305511018762,50.0,0.0,-0.014195804195804185,0.00085221015572301,0.00085221015572301
docs,sports.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.22578088578088576,0.013675754474720355,13.918726889410024,1.7021669217734061,13.918726889410024,1.7021669217734061,50.0,0.0,-0.11174825174825179,12.936826684735843,12.936826684735843
docs,tr11.mat,"PURE (γ=1, η=1)",1.0,1.0,0.3405797101449276,0.029434921755927382,0.9603346674469346,0.007469893860050963,0.9603346674469346,0.007469893860050963,50.0,0.0,0.0,0.0,0.0
docs,tr11.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.3285024154589372,0.011833283781561255,0.9761828273613039,0.0034203276676093436,0.9761828273613039,0.0034203276676093436,50.0,0.0,-0.012077294685990392,0.015848159914369275,0.015848159914369275
docs,tr11.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.3415458937198068,0.04258338332567925,0.9603061994353096,0.007293736558434591,0.9603061994353096,0.007293736558434591,50.0,0.0,0.0009661835748792091,-2.846801162503798e-05,-2.846801162503798e-05
docs,tr11.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.3318840579710145,0.00775208045211654,0.976216290984979,0.004967248950286907,0.976216290984979,0.004967248950286907,50.0,0.0,-0.008695652173913104,0.015881623538044343,0.015881623538044343
docs,tr23.mat,"PURE (γ=1, η=1)",1.0,1.0,0.3303921568627451,0.024656424195998623,0.8571936307526513,0.011816152908088108,0.8571936307526513,0.011816152908088108,50.0,0.0,0.0,0.0,0.0
docs,tr23.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.2774509803921569,0.033354952620007844,2.8837373099413575,0.2614701668257169,2.8837373099413575,0.2614701668257169,50.0,0.0,-0.052941176470588214,2.0265436791887064,2.0265436791887064
docs,tr23.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.33725490196078434,0.025329432711301603,0.8571798762892069,0.011761016268803083,0.8571798762892069,0.011761016268803083,50.0,0.0,0.006862745098039247,-1.3754463444426435e-05,-1.3754463444426435e-05
docs,tr23.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.3274509803921569,0.04757680611196441,2.5769273437795155,1.3375986531726705,2.5769273437795155,1.3375986531726705,50.0,0.0,-0.0029411764705881693,1.7197337130268642,1.7197337130268642
docs,tr41.mat,"PURE (γ=1, η=1)",1.0,1.0,0.34350797266514804,0.059403753167458995,0.9419939521328387,0.021799137811483085,0.9419939521328387,0.021799137811483085,50.0,0.0,0.0,0.0,0.0
docs,tr41.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.2264236902050114,0.0209300860765784,2.664849052132836,0.07320284603747182,2.664849052132836,0.07320284603747182,50.0,0.0,-0.11708428246013663,1.7228550999999974,1.7228550999999974
docs,tr41.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.36947608200455584,0.05920689211406199,0.9387799154409114,0.011562784767645341,0.9387799154409114,0.011562784767645341,50.0,0.0,0.025968109339407797,-0.0032140366919272134,-0.0032140366919272134
docs,tr41.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.21981776765375854,0.020643017039170677,5.938471374067573,0.6228357785477187,5.938471374067573,0.6228357785477187,50.0,0.0,-0.1236902050113895,4.996477421934735,4.996477421934735
docs,tr45.mat,"PURE (γ=1, η=1)",1.0,1.0,0.316231884057971,0.03226713222283875,0.9397185771500938,0.015912310399376302,0.9397185771500938,0.015912310399376302,50.0,0.0,0.0,0.0,0.0
docs,tr45.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.20869565217391303,0.015200128234350019,2.543757973559909,0.044676179400552546,2.543757973559909,0.044676179400552546,50.0,0.0,-0.10753623188405795,1.6040393964098152,1.6040393964098152
docs,tr45.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.29536231884057973,0.03953627438477888,0.9407441650838345,0.014131225824859428,0.9407441650838345,0.014131225824859428,50.0,0.0,-0.02086956521739125,0.0010255879337407459,0.0010255879337407459
docs,tr45.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.21797101449275358,0.0034903172692151603,1.2402682820599575,0.23459973156724223,1.2402682820599575,0.23459973156724223,50.0,0.0,-0.0982608695652174,0.30054970490986377,0.30054970490986377
